SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 1, 0, 0, 1, 0, 0, 7635, 0, 0, 
2, 1, 0, 0, 1, 0, 0, 4785, 0, 0, 
3, 351, 1, 0, 1, 1, 0, 1895800, 2208, 0, 
4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8, 1, 0, 0, 1, 0, 0, 6831, 0, 0, 
9, 1, 0, 0, 1, 0, 0, 3778, 0, 0, 
10, 3, 0, 0, 1, 0, 0, 14749, 0, 0, 
11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
12, 7, 1, 0, 3, 1, 0, 24034, 1433, 0, 
13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
14, 1, 0, 0, 1, 0, 0, 8102, 0, 0, 
15, 1, 1, 0, 1, 1, 0, 21304, 105, 0, 
16, 0, 1, 0, 0, 1, 0, 0, 5944, 0, 
17, 1, 0, 0, 1, 0, 0, 2179, 0, 0, 
18, 1, 1, 0, 1, 1, 0, 3406, 1904, 0, 
19, 1, 0, 0, 1, 0, 0, 2699, 0, 0, 
20, 1, 0, 0, 1, 0, 0, 6112, 0, 0, 
21, 0, 1, 0, 0, 1, 0, 0, 6659, 0, 
22, 2, 0, 0, 2, 0, 0, 6888, 0, 0, 
23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
24, 1, 0, 0, 1, 0, 0, 13029, 0, 0, 
25, 1, 1, 0, 1, 1, 0, 2606, 220, 0, 
26, 2, 0, 0, 2, 0, 0, 9308, 0, 0, 
27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
28, 852, 0, 0, 2, 0, 0, 2597140, 0, 0, 
29, 0, 1, 0, 0, 1, 0, 0, 2505, 0, 
30, 978, 0, 0, 3, 0, 0, 2810317, 0, 0, 
31, 2468, 1, 0, 3, 1, 0, 8024083, 6169, 0, 
32, 977, 1, 0, 2, 1, 0, 2267265, 3872, 0, 
33, 3, 0, 0, 2, 0, 0, 24432, 0, 0, 
34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
37, 3, 0, 0, 1, 0, 0, 5716, 0, 0, 
38, 2498, 1738, 0, 2, 2, 0, 6049673, 6653165, 0, 
39, 0, 1, 0, 0, 1, 0, 0, 6734, 0, 
40, 0, 1, 0, 0, 1, 0, 0, 5205, 0, 
41, 0, 1, 0, 0, 1, 0, 0, 4078, 0, 
