SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 134, 0, 0, 1, 0, 0, 887015, 0, 0, 
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4, 0, 1, 0, 0, 1, 0, 0, 6385, 0, 
5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6, 2, 0, 0, 1, 0, 0, 6327, 0, 0, 
7, 1, 1, 0, 1, 1, 0, 1954, 1449, 0, 
8, 1, 0, 0, 1, 0, 0, 1953, 0, 0, 
9, 1, 0, 0, 1, 0, 0, 3077, 0, 0, 
10, 10, 0, 0, 1, 0, 0, 48128, 0, 0, 
11, 1, 0, 0, 1, 0, 0, 2733, 0, 0, 
12, 4, 0, 0, 1, 0, 0, 16006, 0, 0, 
13, 0, 1, 0, 0, 1, 0, 0, 12319, 0, 
14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
16, 1, 0, 0, 1, 0, 0, 4633, 0, 0, 
17, 2, 0, 0, 2, 0, 0, 7189, 0, 0, 
18, 1, 0, 0, 1, 0, 0, 1626, 0, 0, 
19, 2, 0, 0, 1, 0, 0, 10547, 0, 0, 
20, 356, 0, 0, 1, 0, 0, 1091958, 0, 0, 
21, 1, 0, 0, 1, 0, 0, 3049, 0, 0, 
22, 0, 1, 0, 0, 1, 0, 0, 4026, 0, 
23, 1, 0, 0, 1, 0, 0, 2590, 0, 0, 
24, 1, 0, 0, 1, 0, 0, 1744, 0, 0, 
25, 916, 0, 0, 2, 0, 0, 2738731, 0, 0, 
26, 1, 0, 0, 1, 0, 0, 681, 0, 0, 
27, 443, 0, 0, 1, 0, 0, 1090585, 0, 0, 
28, 1, 0, 0, 1, 0, 0, 2770, 0, 0, 
29, 1, 2, 0, 1, 2, 0, 2441, 20352, 0, 
30, 0, 1, 0, 0, 1, 0, 0, 2799, 0, 
31, 1552, 0, 0, 3, 0, 0, 4736343, 0, 0, 
32, 352, 2, 0, 2, 2, 0, 1102943, 12502, 0, 
33, 1, 0, 0, 1, 0, 0, 2539, 0, 0, 
34, 3, 0, 0, 1, 0, 0, 13188, 0, 0, 
35, 0, 1, 0, 0, 1, 0, 0, 5294, 0, 
36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
37, 0, 1, 0, 0, 1, 0, 0, 4927, 0, 
38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
39, 1782, 1, 0, 1, 1, 0, 5446503, 7576, 0, 
40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
