SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 0, 1, 0, 0, 1, 0, 0, 17848, 0, 
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 0, 1, 0, 0, 1, 0, 0, 3923, 0, 
4, 1, 0, 0, 1, 0, 0, 5147, 0, 0, 
5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8, 2, 0, 0, 2, 0, 0, 20233, 0, 0, 
9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 320, 0, 0, 1, 0, 0, 1591131, 0, 0, 
11, 1, 1, 0, 1, 1, 0, 6764, 14451, 0, 
12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
13, 0, 1, 0, 0, 1, 0, 0, 7457, 0, 
14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
15, 1, 0, 0, 1, 0, 0, 6935, 0, 0, 
16, 0, 1, 0, 0, 1, 0, 0, 3738, 0, 
17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
18, 0, 1, 0, 0, 1, 0, 0, 5230, 0, 
19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
21, 41, 0, 0, 2, 0, 0, 175261, 0, 0, 
22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
23, 1, 2, 0, 1, 2, 0, 3416, 16016, 0, 
24, 1, 0, 0, 1, 0, 0, 4130, 0, 0, 
25, 0, 1, 0, 0, 1, 0, 0, 6192, 0, 
26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
27, 1, 0, 0, 1, 0, 0, 9673, 0, 0, 
28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
29, 2, 1, 0, 2, 1, 0, 12533, 4732, 0, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
